序号,分类,官方检测名称,中文名称,检测主体,比较范围,核心特征或条件,检测机制,主要数据源/CIM,安全意义,公开实现边界
22,网络流量与数据传输异常,UEBA - Unusual Volume of Data Bytes per Device - Rule,总数据流量异常（设备）,设备,实体个人历史/规则范围,总传输字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现设备通信量突增,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
23,网络流量与数据传输异常,UEBA - Unusual Volume of Blocked Connections per Device by Company - Rule,被阻断连接数量异常（设备，公司同伴组）,设备,公司同伴组,被阻断连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现反复外联、扫描或策略违规,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
24,网络流量与数据传输异常,UEBA - Unusual Volume of Blocked Connections per Device by Business Unit - Rule,被阻断连接数量异常（设备，业务单元同伴组）,设备,业务单元同伴组,被阻断连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现反复外联、扫描或策略违规,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
25,网络流量与数据传输异常,UEBA - Unusual Volume of Blocked Connections per Device - Rule,被阻断连接数量异常（设备）,设备,实体个人历史/规则范围,被阻断连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现反复外联、扫描或策略违规,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
26,网络流量与数据传输异常,UEBA - Unusual Volume Of Data Uploaded Per User By Business Unit - Rule,上传数据量异常（用户，业务单元同伴组）,用户,业务单元同伴组,上传字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现异常上传和潜在数据外泄,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
27,网络流量与数据传输异常,UEBA - Unusual Volume Of Data Downloaded Per User By Business Unit - Rule,下载数据量异常（用户，业务单元同伴组）,用户,业务单元同伴组,下载字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现批量取数或数据收集,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
28,网络流量与数据传输异常,UEBA - Unusual Volume Of Data Downloaded From Internal Server Per User By Company - Rule,从内部服务器下载数据量异常（用户，公司同伴组）,用户,公司同伴组,从内部服务器下载的字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现内部数据的大规模读取和潜在外泄准备,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
29,网络流量与数据传输异常,UEBA - Unusual Volume Of Data Downloaded From Internal Server Per User By Business Unit - Rule,从内部服务器下载数据量异常（用户，业务单元同伴组）,用户,业务单元同伴组,从内部服务器下载的字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现内部数据的大规模读取和潜在外泄准备,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
30,网络流量与数据传输异常,UEBA - Unusual Volume Of Data Downloaded From Internal Server Per User - Rule,从内部服务器下载数据量异常（用户）,用户,实体个人历史/规则范围,从内部服务器下载的字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现内部数据的大规模读取和潜在外泄准备,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
31,网络流量与数据传输异常,UEBA - Unusual Volume Of Blocked Connections Per User By Company - Rule,被阻断连接数量异常（用户，公司同伴组）,用户,公司同伴组,被阻断连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现反复外联、扫描或策略违规,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
32,网络流量与数据传输异常,UEBA - Unusual Volume Of Blocked Connections Per User By Business Unit - Rule,被阻断连接数量异常（用户，业务单元同伴组）,用户,业务单元同伴组,被阻断连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现反复外联、扫描或策略违规,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
33,网络流量与数据传输异常,UEBA - Unusual Volume Of Blocked Connections Per User - Rule,被阻断连接数量异常（用户）,用户,实体个人历史/规则范围,被阻断连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现反复外联、扫描或策略违规,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
34,网络流量与数据传输异常,UEBA - Unauthorized Activity Time - Rule,非授权时段活动,用户或设备,实体历史及规则范围,授权/历史活动时段,规则与时间基线,认证/网络活动；Authentication、Network_Traffic,发现非授权时段的异常活动,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
35,认证与登录行为异常,UEBA - Unusual Volume Success Logins To Computer By Company - Rule,计算机成功登录量异常（计算机，公司同伴组）,计算机/设备,公司同伴组,目标计算机成功登录次数,统计基线,Windows Security；Authentication,发现主机被大量登录或成为横向移动落点,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
36,认证与登录行为异常,UEBA - Unusual Volume Success Logins To Computer By Business Unit - Rule,计算机成功登录量异常（计算机，业务单元同伴组）,计算机/设备,业务单元同伴组,目标计算机成功登录次数,统计基线,Windows Security；Authentication,发现主机被大量登录或成为横向移动落点,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
37,认证与登录行为异常,UEBA - Unusual Volume Success Logins To Computer - Rule,计算机成功登录量异常（计算机）,计算机/设备,实体个人历史/规则范围,目标计算机成功登录次数,统计基线,Windows Security；Authentication,发现主机被大量登录或成为横向移动落点,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
38,认证与登录行为异常,UEBA - Unusual Volume Success Login Per User by Company - Rule,用户成功登录量异常,用户,公司同伴组,用户成功登录次数,统计基线,Windows Security；Authentication,发现账号滥用或异常并发登录,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
39,认证与登录行为异常,UEBA - Unusual Volume Success Login Per User by Business Unit - Rule,用户成功登录量异常,用户,业务单元同伴组,用户成功登录次数,统计基线,Windows Security；Authentication,发现账号滥用或异常并发登录,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
40,认证与登录行为异常,UEBA - Unusual Volume Success Login Per User - Rule,用户成功登录量异常（用户）,用户,实体个人历史/规则范围,用户成功登录次数,统计基线,Windows Security；Authentication,发现账号滥用或异常并发登录,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
41,认证与登录行为异常,UEBA - Unusual Volume Login Type Per User by Company - Rule,特定登录类型使用量异常,用户,公司同伴组,按登录类型统计的次数,统计基线,Windows Security；Authentication,发现 RDP、网络登录等方式异常增加,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
42,认证与登录行为异常,UEBA - Unusual Volume Login Type Per User by Business Unit - Rule,特定登录类型使用量异常,用户,业务单元同伴组,按登录类型统计的次数,统计基线,Windows Security；Authentication,发现 RDP、网络登录等方式异常增加,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
43,认证与登录行为异常,UEBA - Unusual Volume Login Type Per User - Rule,特定登录类型使用量异常（用户）,用户,实体个人历史/规则范围,按登录类型统计的次数,统计基线,Windows Security；Authentication,发现 RDP、网络登录等方式异常增加,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
44,认证与登录行为异常,UEBA - Unusual Unlock Time Per User By Company - Rule,用户解锁时间异常（用户，公司同伴组）,用户,公司同伴组,解锁发生时段,时间基线,Windows Security；Authentication,发现非惯常时段的会话解锁,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
45,认证与登录行为异常,UEBA - Unusual Unlock Time Per User - Rule,用户解锁时间异常（用户）,用户,实体个人历史/规则范围,解锁发生时段,时间基线,Windows Security；Authentication,发现非惯常时段的会话解锁,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
46,认证与登录行为异常,UEBA - Unusual Login Time Per User By Company - Rule,用户登录时间异常（用户，公司同伴组）,用户,公司同伴组,登录发生时段,时间基线,Windows Security；Authentication,发现非惯常时段登录,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
47,认证与登录行为异常,UEBA - Unusual Login Time Per User - Rule,用户登录时间异常（用户）,用户,实体个人历史/规则范围,登录发生时段,时间基线,Windows Security；Authentication,发现非惯常时段登录,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
48,认证与登录行为异常,UEBA - Unauthorized Machine Login - Rule,登录未授权计算机,用户,固定规则/关联范围,用户与目标设备关系,授权/稀有关系,Windows 登录；Authentication,发现账号登录非授权或历史罕见设备,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
49,认证与登录行为异常,UEBA - Unauthorized Login Type - Rule,使用未授权登录类型,用户,固定规则/关联范围,登录类型,授权/稀有关系,Windows 登录；Authentication,发现异常使用 RDP、网络登录等方式,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
50,认证与登录行为异常,UEBA - Rare Windows User Login By Device - Rule,Windows 设备上的登录用户罕见（设备）,设备,实体个人历史/规则范围,设备上的用户特征稀有度,稀有度模型,Windows Security；Authentication,发现陌生用户登录设备,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
51,认证与登录行为异常,UEBA - Rare Windows Logon Type By User - Rule,Windows 登录类型罕见（用户）,用户,实体个人历史/规则范围,登录类型稀有度,稀有度模型,Windows Security；Authentication,发现异常登录方式,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
52,认证与登录行为异常,UEBA - Rare Windows Logon Type By Device - Rule,Windows 登录类型罕见（设备）,设备,实体个人历史/规则范围,登录类型稀有度,稀有度模型,Windows Security；Authentication,发现异常登录方式,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
53,认证与登录行为异常,UEBA - Rare Windows Logon Process By User And Device - Rule,Windows 登录进程罕见（用户与设备）,用户,实体个人历史/规则范围,登录进程稀有度,稀有度模型,Windows Security；Authentication,发现异常认证链路或凭据滥用,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
54,认证与登录行为异常,UEBA - Rare Windows Logon Process By User - Rule,Windows 登录进程罕见（用户）,用户,实体个人历史/规则范围,登录进程稀有度,稀有度模型,Windows Security；Authentication,发现异常认证链路或凭据滥用,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
55,认证与登录行为异常,UEBA - Rare Windows Logon Process By Device - Rule,Windows 登录进程罕见（设备）,设备,实体个人历史/规则范围,登录进程稀有度,稀有度模型,Windows Security；Authentication,发现异常认证链路或凭据滥用,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
56,认证与登录行为异常,UEBA - Rare Windows Domain Login By User - Rule,Windows 登录域罕见（用户）,用户,实体个人历史/规则范围,登录域稀有度,稀有度模型,Windows Security；Authentication,发现跨域或异常域登录,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
57,认证与登录行为异常,UEBA - Rare Login Return Code By Windows User - Rule,登录返回码罕见（Windows 用户）,用户,实体个人历史/规则范围,认证返回码稀有度,稀有度模型,Windows Security；Authentication,发现异常失败原因或侦察式认证,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
58,认证与登录行为异常,UEBA - Rare Login Return Code By Device - Rule,登录返回码罕见（设备）,设备,实体个人历史/规则范围,认证返回码稀有度,稀有度模型,Windows Security；Authentication,发现异常失败原因或侦察式认证,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
59,认证与登录行为异常,UEBA - Rare Device Login By Windows User - Rule,用户登录设备罕见（Windows 用户）,用户,实体个人历史/规则范围,用户与设备组合稀有度,稀有度模型,Windows Security；Authentication,发现首次或极少访问的设备,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
60,认证与登录行为异常,UEBA - Brute Force Access Logon Type Per User by Company - Rule,按登录类型发现暴力破解,用户,公司同伴组,失败登录量及次数,爆破检测,Windows Security；Authentication,发现特定登录方式的口令爆破,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
61,认证与登录行为异常,UEBA - Brute Force Access Logon Type Per User by Business Unit - Rule,按登录类型发现暴力破解,用户,业务单元同伴组,失败登录量及次数,爆破检测,Windows Security；Authentication,发现特定登录方式的口令爆破,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
62,认证与登录行为异常,UEBA - Brute Force Access Logon Type Per User - Rule,按登录类型发现暴力破解（用户）,用户,实体个人历史/规则范围,失败登录量及次数,爆破检测,Windows Security；Authentication,发现特定登录方式的口令爆破,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
63,认证与登录行为异常,UEBA - Brute Force Access Behavior Per User by Company - Rule,暴力破解访问行为,用户,公司同伴组,失败登录次数及失败后原因/后续成功,爆破检测,Windows Security；Authentication,发现口令爆破和密码喷洒,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
64,认证与登录行为异常,UEBA - Brute Force Access Behavior Per User by Business Unit - Rule,暴力破解访问行为,用户,业务单元同伴组,失败登录次数及失败后原因/后续成功,爆破检测,Windows Security；Authentication,发现口令爆破和密码喷洒,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
65,认证与登录行为异常,UEBA - Brute Force Access Behavior Per User - Rule,暴力破解访问行为（用户）,用户,实体个人历史/规则范围,失败登录次数及失败后原因/后续成功,爆破检测,Windows Security；Authentication,发现口令爆破和密码喷洒,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
66,认证与登录行为异常,UEBA - Brute Force Access Behavior Per Device By Company - Rule,暴力破解访问行为（设备，公司同伴组）,设备,公司同伴组,失败登录次数及失败后原因/后续成功,爆破检测,Windows Security；Authentication,发现口令爆破和密码喷洒,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
67,认证与登录行为异常,UEBA - Brute Force Access Behavior Per Device By Business Unit - Rule,暴力破解访问行为（设备，业务单元同伴组）,设备,业务单元同伴组,失败登录次数及失败后原因/后续成功,爆破检测,Windows Security；Authentication,发现口令爆破和密码喷洒,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
68,认证与登录行为异常,UEBA - Brute Force Access Behavior Per Device - Rule,暴力破解访问行为（设备）,设备,实体个人历史/规则范围,失败登录次数及失败后原因/后续成功,爆破检测,Windows Security；Authentication,发现口令爆破和密码喷洒,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
69,打印行为异常,UEBA - Unusual Volume of Print per Device by Business Unit - Rule,打印作业数量异常（设备，业务单元同伴组）,设备,业务单元同伴组,打印作业数,统计基线,Windows PrintService；Endpoint/Change,发现批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
70,打印行为异常,UEBA - Unusual Volume of Data Transmitted to Printer per Device by Business Unit - Rule,传输至打印机的数据量异常（设备，业务单元同伴组）,设备,业务单元同伴组,打印传输字节数,统计基线,Windows PrintService；Endpoint/Change,发现大批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
71,打印行为异常,UEBA - Unusual Volume of Print Per User By Business Unit- Rule,打印作业数量异常（用户，业务单元同伴组）,用户,业务单元同伴组,打印作业数,统计基线,Windows PrintService；Endpoint/Change,发现批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
72,打印行为异常,UEBA - Unusual Volume of Data Transmitted To Printer Per User By Business Unit- Rule,传输至打印机的数据量异常（用户，业务单元同伴组）,用户,业务单元同伴组,打印传输字节数,统计基线,Windows PrintService；Endpoint/Change,发现大批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
73,打印行为异常,UEBA - Unusual Volume of Print per Printer by Business Unit- Rule,打印作业数量异常（打印机，业务单元同伴组）,打印机,业务单元同伴组,打印作业数,统计基线,Windows PrintService；Endpoint/Change,发现批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
74,打印行为异常,UEBA - Unusual Volume of Data Transmitted to Printer per Printer by Business Unit- Rule,传输至打印机的数据量异常（打印机，业务单元同伴组）,打印机,业务单元同伴组,打印传输字节数,统计基线,Windows PrintService；Endpoint/Change,发现大批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
75,打印行为异常,UEBA - Unusual Volume of Print per User by Company - Rule,打印作业数量异常（用户，公司同伴组）,用户,公司同伴组,打印作业数,统计基线,Windows PrintService；Endpoint/Change,发现批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
76,打印行为异常,UEBA - Unusual Volume of Print per User - Rule,打印作业数量异常（用户）,用户,实体个人历史/规则范围,打印作业数,统计基线,Windows PrintService；Endpoint/Change,发现批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
77,打印行为异常,UEBA - Unusual Volume of Print per Printer by Company - Rule,打印作业数量异常（打印机，公司同伴组）,打印机,公司同伴组,打印作业数,统计基线,Windows PrintService；Endpoint/Change,发现批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
78,打印行为异常,UEBA - Unusual Volume of Print per Printer - Rule,打印作业数量异常（打印机）,打印机,实体个人历史/规则范围,打印作业数,统计基线,Windows PrintService；Endpoint/Change,发现批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
79,打印行为异常,UEBA - Unusual Volume of Print per Device by Company - Rule,打印作业数量异常（设备，公司同伴组）,设备,公司同伴组,打印作业数,统计基线,Windows PrintService；Endpoint/Change,发现批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
80,打印行为异常,UEBA - Unusual Volume of Print per Device - Rule,打印作业数量异常（设备）,设备,实体个人历史/规则范围,打印作业数,统计基线,Windows PrintService；Endpoint/Change,发现批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
81,打印行为异常,UEBA - Unusual Volume of Print at Unusual Time per User by Company - Rule,异常时段大量打印（用户，公司同伴组）,用户,公司同伴组,打印量与打印时段,量值与时间基线,Windows PrintService；Endpoint/Change,发现非工作时间批量打印和潜在泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
82,打印行为异常,UEBA - Unusual Volume of Print at Unusual Time per Printer by Company - Rule,异常时段大量打印（打印机，公司同伴组）,打印机,公司同伴组,打印量与打印时段,量值与时间基线,Windows PrintService；Endpoint/Change,发现非工作时间批量打印和潜在泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
83,打印行为异常,UEBA - Unusual Volume of Print at Unusual Time per Device by Company - Rule,异常时段大量打印（设备，公司同伴组）,设备,公司同伴组,打印量与打印时段,量值与时间基线,Windows PrintService；Endpoint/Change,发现非工作时间批量打印和潜在泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
84,打印行为异常,UEBA - Unusual Volume of Data Transmitted to Printer per User by Company - Rule,传输至打印机的数据量异常（用户，公司同伴组）,用户,公司同伴组,打印传输字节数,统计基线,Windows PrintService；Endpoint/Change,发现大批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
85,打印行为异常,UEBA - Unusual Volume of Data Transmitted to Printer per User - Rule,传输至打印机的数据量异常（用户）,用户,实体个人历史/规则范围,打印传输字节数,统计基线,Windows PrintService；Endpoint/Change,发现大批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
86,打印行为异常,UEBA - Unusual Volume of Data Transmitted to Printer per Printer by Company - Rule,传输至打印机的数据量异常（打印机，公司同伴组）,打印机,公司同伴组,打印传输字节数,统计基线,Windows PrintService；Endpoint/Change,发现大批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
87,打印行为异常,UEBA - Unusual Volume of Data Transmitted to Printer per Printer - Rule,传输至打印机的数据量异常（打印机）,打印机,实体个人历史/规则范围,打印传输字节数,统计基线,Windows PrintService；Endpoint/Change,发现大批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
88,打印行为异常,UEBA - Unusual Volume of Data Transmitted to Printer per Device by Company - Rule,传输至打印机的数据量异常（设备，公司同伴组）,设备,公司同伴组,打印传输字节数,统计基线,Windows PrintService；Endpoint/Change,发现大批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
89,打印行为异常,UEBA - Unusual Volume of Data Transmitted to Printer per Device - Rule,传输至打印机的数据量异常（设备）,设备,实体个人历史/规则范围,打印传输字节数,统计基线,Windows PrintService；Endpoint/Change,发现大批量打印和潜在纸质泄密,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
90,打印行为异常,UEBA - Unusual Print Time per User - Rule,打印时间异常（用户）,用户,实体个人历史/规则范围,打印发生时段,时间基线,Windows PrintService；Endpoint/Change,发现深夜、周末等非惯常打印,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
91,打印行为异常,UEBA - Unusual Print Time per Printer - Rule,打印时间异常（打印机）,打印机,实体个人历史/规则范围,打印发生时段,时间基线,Windows PrintService；Endpoint/Change,发现深夜、周末等非惯常打印,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
